% Moku:Go Frequency Response Analyzer
% Channel 1, DC coupling, 10 Vpp range, amplitude 20 mVpp, offset 0.000 0 V, phase 0.000 deg
% Channel 2, DC coupling, 10 Vpp range, amplitude 20 mVpp, offset 0.000 0 V, phase 0.000 deg
% Logarithmic sweep from 100.0000 mHz to 10.00000 kHz with 512 pts, dynamic amplitude mode off, measuring fundamental, normalization off
% Averaging time 2.00 ms, 1 cycles; Settling time 100 us, 1 cycles
% Acquired 2025-09-04 T 17:32:22 -0400
% Frequency (Hz), Channel 1 Magnitude (dBVpp), Channel 1 Phase (deg), Channel 2 Magnitude (dBVpp), Channel 2 Phase (deg), Math (Ch 1 / Ch 2) Magnitude (dBVpp), Math (Ch 1 / Ch 2) Phase (deg)
1.56219367e+00, -3.4041e+01, 1.7995e+02, 2.5889e+00, -1.3813e+02, -3.6630e+01, -4.1920e+01
1.59778970e+00, -3.4021e+01, -1.7952e+02, 2.7066e+00, -1.3863e+02, -3.6728e+01, -4.0891e+01
1.63419682e+00, -3.4039e+01, -1.7990e+02, 2.8034e+00, -1.3914e+02, -3.6842e+01, -4.0754e+01
1.67143351e+00, -3.3997e+01, -1.7983e+02, 2.9026e+00, -1.3955e+02, -3.6900e+01, -4.0276e+01
1.70951867e+00, -3.3960e+01, -1.7954e+02, 3.0029e+00, -1.4008e+02, -3.6963e+01, -3.9455e+01
1.74847163e+00, -3.4048e+01, 1.7941e+02, 3.0890e+00, -1.4063e+02, -3.7137e+01, -3.9956e+01
1.78831218e+00, -3.4050e+01, 1.7976e+02, 3.1775e+00, -1.4114e+02, -3.7227e+01, -3.9094e+01
1.82906053e+00, -3.3913e+01, -1.7972e+02, 3.2760e+00, -1.4168e+02, -3.7189e+01, -3.8037e+01
1.87073737e+00, -3.4162e+01, 1.7976e+02, 3.3644e+00, -1.4221e+02, -3.7526e+01, -3.8031e+01
1.91336385e+00, -3.4022e+01, -1.7940e+02, 3.4619e+00, -1.4272e+02, -3.7484e+01, -3.6680e+01
1.95696162e+00, -3.3992e+01, -1.7988e+02, 3.5396e+00, -1.4328e+02, -3.7532e+01, -3.6598e+01
2.00155280e+00, -3.3959e+01, -1.7986e+02, 3.6327e+00, -1.4374e+02, -3.7592e+01, -3.6116e+01
2.04716004e+00, -3.4067e+01, -1.7974e+02, 3.7072e+00, -1.4427e+02, -3.7774e+01, -3.5468e+01
2.09380647e+00, -3.4090e+01, -1.7969e+02, 3.7876e+00, -1.4477e+02, -3.7877e+01, -3.4921e+01
2.14151579e+00, -3.3971e+01, -1.7981e+02, 3.8720e+00, -1.4533e+02, -3.7843e+01, -3.4477e+01
2.19031222e+00, -3.4003e+01, 1.7981e+02, 3.9476e+00, -1.4589e+02, -3.7951e+01, -3.4302e+01
2.24022051e+00, -3.4077e+01, 1.7995e+02, 4.0069e+00, -1.4639e+02, -3.8084e+01, -3.3664e+01
2.29126601e+00, -3.4077e+01, -1.7945e+02, 4.0864e+00, -1.4693e+02, -3.8164e+01, -3.2524e+01
2.34347463e+00, -3.4052e+01, 1.7938e+02, 4.1495e+00, -1.4741e+02, -3.8201e+01, -3.3211e+01
2.39687287e+00, -3.3950e+01, 1.7983e+02, 4.2225e+00, -1.4791e+02, -3.8173e+01, -3.2260e+01
2.45148783e+00, -3.4027e+01, -1.7986e+02, 4.2835e+00, -1.4845e+02, -3.8311e+01, -3.1414e+01
2.50734726e+00, -3.4009e+01, -1.7982e+02, 4.3570e+00, -1.4899e+02, -3.8366e+01, -3.0830e+01
2.56447948e+00, -3.4032e+01, 1.7966e+02, 4.4169e+00, -1.4956e+02, -3.8449e+01, -3.0780e+01
2.62291353e+00, -3.3930e+01, -1.7958e+02, 4.4761e+00, -1.5000e+02, -3.8406e+01, -2.9583e+01
2.68267904e+00, -3.3995e+01, -1.7974e+02, 4.5285e+00, -1.5047e+02, -3.8524e+01, -2.9269e+01
2.74380637e+00, -3.3998e+01, -1.7950e+02, 4.5806e+00, -1.5098e+02, -3.8579e+01, -2.8524e+01
2.80632654e+00, -3.3948e+01, 1.8000e+02, 4.6364e+00, -1.5152e+02, -3.8584e+01, -2.8488e+01
2.87027128e+00, -3.4063e+01, 1.7993e+02, 4.7002e+00, -1.5198e+02, -3.8764e+01, -2.8086e+01
2.93567307e+00, -3.4021e+01, -1.7980e+02, 4.7458e+00, -1.5252e+02, -3.8767e+01, -2.7280e+01
3.00256510e+00, -3.3954e+01, -1.7994e+02, 4.8009e+00, -1.5295e+02, -3.8755e+01, -2.6996e+01
3.07098133e+00, -3.4041e+01, 1.7955e+02, 4.8518e+00, -1.5343e+02, -3.8893e+01, -2.7014e+01
3.14095649e+00, -3.3964e+01, -1.7983e+02, 4.8902e+00, -1.5390e+02, -3.8855e+01, -2.5924e+01
3.21252609e+00, -3.3948e+01, -1.7989e+02, 4.9412e+00, -1.5441e+02, -3.8889e+01, -2.5475e+01
3.28572647e+00, -3.3969e+01, 1.7975e+02, 4.9874e+00, -1.5491e+02, -3.8956e+01, -2.5345e+01
3.36059479e+00, -3.4025e+01, 1.7951e+02, 5.0263e+00, -1.5532e+02, -3.9051e+01, -2.5173e+01
3.43716906e+00, -3.3959e+01, 1.7963e+02, 5.0742e+00, -1.5574e+02, -3.9033e+01, -2.4633e+01
3.51548814e+00, -3.4013e+01, -1.7966e+02, 5.1036e+00, -1.5620e+02, -3.9117e+01, -2.3457e+01
3.59559179e+00, -3.4041e+01, 1.7982e+02, 5.1436e+00, -1.5672e+02, -3.9184e+01, -2.3454e+01
3.67752068e+00, -3.3977e+01, 1.7982e+02, 5.1783e+00, -1.5709e+02, -3.9155e+01, -2.3089e+01
