% Moku:Go Frequency Response Analyzer
% Channel 1, DC coupling, 10 Vpp range, amplitude 20 mVpp, offset 100.0 mV, phase 0.000 deg
% Channel 2, DC coupling, 10 Vpp range, amplitude 20 mVpp, offset 0.000 0 V, phase 0.000 deg
% Logarithmic sweep from 5.000000 Hz to 10.00000 kHz with 512 pts, dynamic amplitude mode off, measuring fundamental, normalization off
% Averaging time 2.00 ms, 1 cycles; Settling time 100 us, 1 cycles
% Acquired 2025-09-09 T 13:35:59 -0400
% Frequency (Hz), Channel 1 Magnitude (dBVpp), Channel 1 Phase (deg), Channel 2 Magnitude (dBVpp), Channel 2 Phase (deg), Math (Ch 1 / Ch 2) Magnitude (dBVpp), Math (Ch 1 / Ch 2) Phase (deg)
2.05430258e+01, -3.3922e+01, 1.7993e+02, -5.6529e+01, -1.1003e+02, 2.2607e+01, -7.0038e+01
2.08508783e+01, -3.3846e+01, 1.7990e+02, -5.5468e+01, -1.0362e+02, 2.1622e+01, -7.6482e+01
2.11633442e+01, -3.3849e+01, 1.8003e+02, -5.5204e+01, -1.0438e+02, 2.1356e+01, -7.5589e+01
2.14804926e+01, -3.3901e+01, 1.8007e+02, -5.5409e+01, -1.0486e+02, 2.1508e+01, -7.5066e+01
2.18023937e+01, -3.3875e+01, 1.7974e+02, -5.4972e+01, -1.1150e+02, 2.1097e+01, -6.8753e+01
2.21291188e+01, -3.3862e+01, 1.8010e+02, -5.6056e+01, -1.0672e+02, 2.2194e+01, -7.3184e+01
2.24607400e+01, -3.3920e+01, 1.7992e+02, -5.4855e+01, -1.0307e+02, 2.0935e+01, -7.7006e+01
2.27973309e+01, -3.3807e+01, 1.8008e+02, -5.5090e+01, -1.0958e+02, 2.1283e+01, -7.0338e+01
2.31389658e+01, -3.3931e+01, 1.7995e+02, -5.4022e+01, -1.1048e+02, 2.0091e+01, -6.9569e+01
2.34857204e+01, -3.3878e+01, 1.7991e+02, -5.4146e+01, -1.0666e+02, 2.0268e+01, -7.3426e+01
2.38376713e+01, -3.3845e+01, 1.7995e+02, -5.5164e+01, -1.0926e+02, 2.1319e+01, -7.0785e+01
2.41948965e+01, -3.3836e+01, 1.8017e+02, -5.3891e+01, -1.1388e+02, 2.0055e+01, -6.5950e+01
2.45574750e+01, -3.3813e+01, 1.7990e+02, -5.4909e+01, -1.1349e+02, 2.1096e+01, -6.6616e+01
2.49254870e+01, -3.3898e+01, 1.8003e+02, -5.3836e+01, -1.0477e+02, 1.9938e+01, -7.5204e+01
2.52990139e+01, -3.3686e+01, 1.7950e+02, -5.3954e+01, -1.1606e+02, 2.0269e+01, -6.4434e+01
2.56781384e+01, -3.3978e+01, 1.8008e+02, -5.3671e+01, -1.0364e+02, 1.9694e+01, -7.6280e+01
2.60629444e+01, -3.3951e+01, 1.8018e+02, -5.5066e+01, -1.1818e+02, 2.1116e+01, -6.1641e+01
2.64535169e+01, -3.3910e+01, 1.7939e+02, -5.4109e+01, -9.9087e+01, 2.0199e+01, -8.1521e+01
2.68499425e+01, -3.3961e+01, 1.7975e+02, -5.3065e+01, -1.0791e+02, 1.9104e+01, -7.2343e+01
2.72523088e+01, -3.3941e+01, 1.7969e+02, -5.2723e+01, -9.9242e+01, 1.8782e+01, -8.1063e+01
2.76607049e+01, -3.3917e+01, 1.8045e+02, -5.3623e+01, -1.0750e+02, 1.9706e+01, -7.2052e+01
2.80752211e+01, -3.3782e+01, 1.7922e+02, -5.3230e+01, -1.1296e+02, 1.9449e+01, -6.7820e+01
2.84959491e+01, -3.3917e+01, 1.7941e+02, -5.4360e+01, -1.0234e+02, 2.0443e+01, -7.8254e+01
2.89229820e+01, -3.3780e+01, 1.8017e+02, -5.3211e+01, -1.0555e+02, 1.9431e+01, -7.4275e+01
2.93564144e+01, -3.3915e+01, 1.7990e+02, -5.1821e+01, -1.0728e+02, 1.7906e+01, -7.2823e+01
2.97963420e+01, -3.3752e+01, 1.8043e+02, -5.2760e+01, -1.1263e+02, 1.9008e+01, -6.6942e+01
3.02428623e+01, -3.3869e+01, 1.7952e+02, -5.3033e+01, -1.0816e+02, 1.9163e+01, -7.2315e+01
