% Moku:Go Frequency Response Analyzer
% Channel 1, DC coupling, 10 Vpp range, amplitude 20 mVpp, offset -100.0 mV, phase 0.000 deg
% Channel 2, DC coupling, 10 Vpp range, amplitude 20 mVpp, offset 0.000 0 V, phase 0.000 deg
% Logarithmic sweep from 10.00000 mHz to 10.00000 kHz with 512 pts, dynamic amplitude mode off, measuring fundamental, normalization off
% Averaging time 2.00 ms, 1 cycles; Settling time 100 us, 1 cycles
% Acquired 2025-09-09 T 17:29:57 -0400
% Frequency (Hz), Channel 1 Magnitude (dBVpp), Channel 1 Phase (deg), Channel 2 Magnitude (dBVpp), Channel 2 Phase (deg), Math (Ch 1 / Ch 2) Magnitude (dBVpp), Math (Ch 1 / Ch 2) Phase (deg)
7.36039407e-01, -3.4301e+01, 1.7922e+02, -6.6669e+01, 2.2332e+02, 3.2368e+01, -4.0409e+02
7.56210713e-01, -3.4216e+01, 1.7941e+02, -7.5389e+01, 2.5365e+02, 4.1173e+01, -4.3424e+02
7.76934817e-01, -3.4243e+01, 1.8029e+02, -7.1915e+01, 2.8330e+02, 3.7672e+01, -4.6301e+02
7.98226869e-01, -3.4269e+01, 1.7981e+02, -6.7422e+01, 2.4921e+02, 3.3153e+01, -4.2939e+02
8.20102434e-01, -3.4266e+01, 1.7986e+02, -6.7939e+01, 2.1956e+02, 3.3673e+01, -3.9970e+02
8.42577504e-01, -3.4373e+01, 1.7975e+02, -6.9928e+01, 2.1931e+02, 3.5555e+01, -3.9956e+02
8.65668507e-01, -3.4153e+01, 1.8029e+02, -6.7943e+01, 2.4552e+02, 3.3790e+01, -4.2523e+02
8.89392324e-01, -3.4207e+01, 1.8035e+02, -7.2596e+01, 2.1801e+02, 3.8389e+01, -3.9766e+02
9.13766296e-01, -3.4144e+01, 1.7993e+02, -6.6617e+01, 2.1660e+02, 3.2472e+01, -3.9668e+02
9.38808242e-01, -3.4280e+01, 1.7978e+02, -6.4945e+01, 2.6402e+02, 3.0665e+01, -4.4424e+02
9.64536468e-01, -3.4121e+01, 1.8048e+02, -6.3935e+01, 2.2857e+02, 2.9814e+01, -4.0810e+02
9.90969780e-01, -3.4218e+01, 1.8006e+02, -7.2156e+01, 2.5149e+02, 3.7938e+01, -4.3143e+02
1.01812750e+00, -3.4269e+01, 1.7992e+02, -6.6158e+01, 2.4430e+02, 3.1889e+01, -4.2437e+02
1.04602949e+00, -3.4193e+01, 1.8012e+02, -6.4711e+01, 2.4398e+02, 3.0517e+01, -4.2386e+02
1.07469613e+00, -3.4292e+01, 1.8052e+02, -6.9519e+01, 2.4220e+02, 3.5227e+01, -4.2168e+02
1.10414839e+00, -3.4209e+01, 1.7990e+02, -6.5441e+01, 2.1648e+02, 3.1233e+01, -3.9658e+02
1.13440780e+00, -3.4345e+01, 1.7976e+02, -6.7649e+01, 2.3588e+02, 3.3304e+01, -4.1612e+02
1.16549647e+00, -3.4196e+01, 1.8023e+02, -7.5485e+01, 2.7921e+02, 4.1289e+01, -4.5898e+02
1.19743713e+00, -3.4314e+01, 1.7974e+02, -6.7044e+01, 2.2963e+02, 3.2730e+01, -4.0989e+02
1.23025313e+00, -3.4185e+01, 1.7974e+02, -6.7858e+01, 2.1119e+02, 3.3673e+01, -3.9145e+02
1.26396846e+00, -3.4168e+01, 1.8030e+02, -6.6235e+01, 2.6175e+02, 3.2067e+01, -4.4145e+02
1.29860777e+00, -3.4221e+01, 1.7960e+02, -6.7226e+01, 2.5073e+02, 3.3005e+01, -4.3113e+02
1.33419637e+00, -3.4333e+01, 1.7978e+02, -6.6353e+01, 2.3041e+02, 3.2020e+01, -4.1063e+02
1.37076028e+00, -3.4323e+01, 1.7978e+02, -6.8833e+01, 2.5637e+02, 3.4510e+01, -4.3659e+02
1.40832624e+00, -3.4163e+01, 1.8006e+02, -6.4264e+01, 2.6307e+02, 3.0101e+01, -4.4301e+02
1.44692170e+00, -3.4308e+01, 1.7992e+02, -6.8665e+01, 2.3875e+02, 3.4357e+01, -4.1882e+02
1.48657488e+00, -3.4213e+01, 1.7966e+02, -6.4972e+01, 2.3269e+02, 3.0760e+01, -4.1302e+02
1.52731475e+00, -3.4300e+01, 1.8009e+02, -6.2723e+01, 2.4230e+02, 2.8423e+01, -4.2221e+02
1.56917112e+00, -3.4225e+01, 1.8006e+02, -6.4204e+01, 2.5295e+02, 2.9979e+01, -4.3289e+02
1.61217456e+00, -3.4201e+01, 1.8007e+02, -6.5190e+01, 2.3971e+02, 3.0989e+01, -4.1965e+02
1.65635652e+00, -3.4293e+01, 1.8062e+02, -6.3567e+01, 2.3438e+02, 2.9274e+01, -4.1376e+02
1.70174930e+00, -3.4271e+01, 1.8030e+02, -6.5544e+01, 2.5372e+02, 3.1273e+01, -4.3342e+02
1.74838608e+00, -3.4294e+01, 1.8000e+02, -6.6085e+01, 2.2173e+02, 3.1791e+01, -4.0172e+02
