% Moku:Go Frequency Response Analyzer
% Channel 1, DC coupling, 10 Vpp range, amplitude 20 mVpp, offset -100.0 mV, phase 0.000 deg
% Channel 2, DC coupling, 10 Vpp range, amplitude 20 mVpp, offset 0.000 0 V, phase 0.000 deg
% Logarithmic sweep from 1.000000 Hz to 20.00000 MHz with 512 pts, dynamic amplitude mode off, measuring fundamental, normalization off
% Averaging time 2.00 ms, 1 cycles; Settling time 100 us, 1 cycles
% Acquired 2025-09-09 T 14:25:23 -0400
% Frequency (Hz), Channel 1 Magnitude (dBVpp), Channel 1 Phase (deg), Channel 2 Magnitude (dBVpp), Channel 2 Phase (deg), Math (Ch 1 / Ch 2) Magnitude (dBVpp), Math (Ch 1 / Ch 2) Phase (deg)
3.72949498e+01, -3.4087e+01, -1.7900e+02, -4.5011e+01, -1.0541e+02, 1.0924e+01, -7.3586e+01
3.85423116e+01, -3.4189e+01, -1.8044e+02, -4.4852e+01, -1.0778e+02, 1.0663e+01, -7.2661e+01
3.98313924e+01, -3.4237e+01, -1.7923e+02, -4.4820e+01, -1.0569e+02, 1.0582e+01, -7.3544e+01
4.11635877e+01, -3.4324e+01, -1.8015e+02, -4.4723e+01, -1.0651e+02, 1.0398e+01, -7.3636e+01
4.25403393e+01, -3.4270e+01, -1.7953e+02, -4.4180e+01, -1.0228e+02, 9.9099e+00, -7.7251e+01
4.39631377e+01, -3.4114e+01, -1.8013e+02, -4.2927e+01, -1.0068e+02, 8.8132e+00, -7.9453e+01
4.54335227e+01, -3.4119e+01, -1.8006e+02, -4.3015e+01, -1.0748e+02, 8.8961e+00, -7.2584e+01
4.69530860e+01, -3.4242e+01, -1.7912e+02, -4.3692e+01, -1.0212e+02, 9.4499e+00, -7.6997e+01
4.85234725e+01, -3.4271e+01, -1.8066e+02, -4.2220e+01, -1.0753e+02, 7.9486e+00, -7.3128e+01
5.01463819e+01, -3.4195e+01, -1.8037e+02, -4.2480e+01, -1.0291e+02, 8.2849e+00, -7.7463e+01
5.18235708e+01, -3.4253e+01, -1.8061e+02, -4.2806e+01, -1.0913e+02, 8.5539e+00, -7.1483e+01
5.35568548e+01, -3.4330e+01, -1.8009e+02, -4.1142e+01, -1.0860e+02, 6.8115e+00, -7.1492e+01
5.53481100e+01, -3.4260e+01, -1.8017e+02, -4.1347e+01, -1.0347e+02, 7.0871e+00, -7.6691e+01
5.71992753e+01, -3.4381e+01, -1.7938e+02, -4.1409e+01, -1.0001e+02, 7.0280e+00, -7.9369e+01
5.91123544e+01, -3.4207e+01, -1.8022e+02, -4.0956e+01, -1.0287e+02, 6.7489e+00, -7.7348e+01
6.10894180e+01, -3.4148e+01, -1.7996e+02, -4.0869e+01, -1.0143e+02, 6.7207e+00, -7.8537e+01
6.31326063e+01, -3.4297e+01, -1.7993e+02, -4.0304e+01, -1.0088e+02, 6.0074e+00, -7.9048e+01
6.52441307e+01, -3.4125e+01, -1.8042e+02, -3.9879e+01, -1.0473e+02, 5.7538e+00, -7.5694e+01
6.74262769e+01, -3.4150e+01, -1.7986e+02, -4.0076e+01, -1.1101e+02, 5.9256e+00, -6.8846e+01
6.96814069e+01, -3.4491e+01, -1.8027e+02, -4.0386e+01, -1.0581e+02, 5.8950e+00, -7.4460e+01
7.20119616e+01, -3.4233e+01, -1.8033e+02, -3.9564e+01, -1.0457e+02, 5.3302e+00, -7.5762e+01
