% Moku:Go Frequency Response Analyzer
% Channel 1, DC coupling, 10 Vpp range, amplitude 20 mVpp, offset 0.000 0 V, phase 0.000 deg
% Channel 2, DC coupling, 10 Vpp range, amplitude 20 mVpp, offset 0.000 0 V, phase 0.000 deg
% Logarithmic sweep from 10.00000 mHz to 500.0000 Hz with 512 pts, dynamic amplitude mode off, measuring fundamental, normalization off
% Averaging time 2.00 ms, 1 cycles; Settling time 100 us, 1 cycles
% Acquired 2025-09-05 T 14:31:23 -0400
% Frequency (Hz), Channel 1 Magnitude (dBVpp), Channel 1 Phase (deg), Channel 2 Magnitude (dBVpp), Channel 2 Phase (deg), Math (Ch 1 + Ch 2) Magnitude (dBVpp), Math (Ch 1 + Ch 2) Phase (deg)
3.37190808e-01, -3.3989e+01, -1.8035e+02, -7.3470e+00, -1.2623e+02, -7.1074e+00, -1.2833e+02
3.45961989e-01, -3.3980e+01, -1.7983e+02, -7.1881e+00, -1.2587e+02, -6.9518e+00, -1.2793e+02
3.54961331e-01, -3.3969e+01, -1.7989e+02, -7.0059e+00, -1.2580e+02, -6.7749e+00, -1.2783e+02
3.64194769e-01, -3.3897e+01, -1.7947e+02, -6.8316e+00, -1.2548e+02, -6.6029e+00, -1.2748e+02
3.73668391e-01, -3.4036e+01, -1.7942e+02, -6.6586e+00, -1.2523e+02, -6.4390e+00, -1.2717e+02
3.83388447e-01, -3.3969e+01, -1.8014e+02, -6.4689e+00, -1.2514e+02, -6.2564e+00, -1.2707e+02
3.93361345e-01, -3.4059e+01, -1.8033e+02, -6.2885e+00, -1.2494e+02, -6.0845e+00, -1.2682e+02
4.03593663e-01, -3.3977e+01, -1.8004e+02, -6.1143e+00, -1.2476e+02, -5.9119e+00, -1.2662e+02
4.14092150e-01, -3.3958e+01, -1.7975e+02, -5.9269e+00, -1.2453e+02, -5.7281e+00, -1.2636e+02
4.24863729e-01, -3.4017e+01, -1.8001e+02, -5.7597e+00, -1.2430e+02, -5.5684e+00, -1.2609e+02
4.35915504e-01, -3.3999e+01, -1.8048e+02, -5.5617e+00, -1.2443e+02, -5.3758e+00, -1.2619e+02
4.47254763e-01, -3.3837e+01, -1.7966e+02, -5.3774e+00, -1.2423e+02, -5.1893e+00, -1.2597e+02
4.58888985e-01, -3.3967e+01, -1.7982e+02, -5.1941e+00, -1.2416e+02, -5.0137e+00, -1.2584e+02
4.70825843e-01, -3.3989e+01, -1.7974e+02, -5.0238e+00, -1.2412e+02, -4.8472e+00, -1.2577e+02
4.83073208e-01, -3.3910e+01, -1.7949e+02, -4.8335e+00, -1.2401e+02, -4.6586e+00, -1.2564e+02
4.95639157e-01, -3.4058e+01, -1.7998e+02, -4.6651e+00, -1.2400e+02, -4.4985e+00, -1.2558e+02
5.08531979e-01, -3.3963e+01, -1.8003e+02, -4.4749e+00, -1.2401e+02, -4.3104e+00, -1.2558e+02
5.21760176e-01, -3.3904e+01, -1.8031e+02, -4.2869e+00, -1.2397e+02, -4.1261e+00, -1.2552e+02
5.35332471e-01, -3.4080e+01, -1.8058e+02, -4.0985e+00, -1.2412e+02, -3.9448e+00, -1.2561e+02
5.49257816e-01, -3.3999e+01, -1.7996e+02, -3.9127e+00, -1.2423e+02, -3.7581e+00, -1.2569e+02
5.63545394e-01, -3.3902e+01, -1.8036e+02, -3.7313e+00, -1.2418e+02, -3.5799e+00, -1.2563e+02
5.78204628e-01, -3.4018e+01, -1.8014e+02, -3.5609e+00, -1.2418e+02, -3.4136e+00, -1.2558e+02
5.93245185e-01, -3.4108e+01, -1.8038e+02, -3.3692e+00, -1.2434e+02, -3.2270e+00, -1.2570e+02
6.08676985e-01, -3.3977e+01, -1.8003e+02, -3.1929e+00, -1.2434e+02, -3.0502e+00, -1.2568e+02
6.24510205e-01, -3.4096e+01, -1.8015e+02, -3.0165e+00, -1.2447e+02, -2.8786e+00, -1.2577e+02
6.40755288e-01, -3.3971e+01, -1.8029e+02, -2.8289e+00, -1.2472e+02, -2.6916e+00, -1.2601e+02
6.57422945e-01, -3.4003e+01, -1.8047e+02, -2.6391e+00, -1.2486e+02, -2.5055e+00, -1.2612e+02
6.74524170e-01, -3.3993e+01, -1.8007e+02, -2.4584e+00, -1.2491e+02, -2.3259e+00, -1.2614e+02
6.92070242e-01, -3.4124e+01, -1.8004e+02, -2.2814e+00, -1.2514e+02, -2.1528e+00, -1.2632e+02
7.10072730e-01, -3.4073e+01, -1.7976e+02, -2.1093e+00, -1.2533e+02, -1.9810e+00, -1.2649e+02
7.28543509e-01, -3.4010e+01, -1.7968e+02, -1.9259e+00, -1.2558e+02, -1.7984e+00, -1.2672e+02
7.47494759e-01, -3.4039e+01, -1.8004e+02, -1.7560e+00, -1.2582e+02, -1.6317e+00, -1.2694e+02
7.66938979e-01, -3.3985e+01, -1.8046e+02, -1.5717e+00, -1.2604e+02, -1.4499e+00, -1.2714e+02
7.86888992e-01, -3.3997e+01, -1.8002e+02, -1.3991e+00, -1.2627e+02, -1.2780e+00, -1.2734e+02
8.07357955e-01, -3.4037e+01, -1.8020e+02, -1.2354e+00, -1.2651e+02, -1.1170e+00, -1.2755e+02
8.28359367e-01, -3.3944e+01, -1.8028e+02, -1.0561e+00, -1.2690e+02, -9.3804e-01, -1.2792e+02
8.49907079e-01, -3.3968e+01, -1.8013e+02, -8.9220e-01, -1.2717e+02, -7.7552e-01, -1.2817e+02
8.72015301e-01, -3.4064e+01, -1.8011e+02, -7.1868e-01, -1.2757e+02, -6.0453e-01, -1.2854e+02
8.94698613e-01, -3.4005e+01, -1.8012e+02, -5.5489e-01, -1.2787e+02, -4.4137e-01, -1.2882e+02
9.17971975e-01, -3.4018e+01, -1.8021e+02, -3.8533e-01, -1.2819e+02, -2.7366e-01, -1.2911e+02
9.41850737e-01, -3.3986e+01, -1.7989e+02, -2.1769e-01, -1.2858e+02, -1.0607e-01, -1.2948e+02
9.66350645e-01, -3.4019e+01, -1.7999e+02, -5.8834e-02, -1.2902e+02, 5.1140e-02, -1.2990e+02
9.91487857e-01, -3.4026e+01, -1.7941e+02, 9.9078e-02, -1.2935e+02, 2.0901e-01, -1.3020e+02
1.01727895e+00, -3.4007e+01, -1.7953e+02, 2.5542e-01, -1.2971e+02, 3.6416e-01, -1.3055e+02
1.04374094e+00, -3.4077e+01, -1.7981e+02, 4.2451e-01, -1.3016e+02, 5.3064e-01, -1.3097e+02
1.07089127e+00, -3.4068e+01, -1.8000e+02, 5.6207e-01, -1.3060e+02, 6.6719e-01, -1.3140e+02
1.09874784e+00, -3.3861e+01, -1.7992e+02, 7.2441e-01, -1.3108e+02, 8.3123e-01, -1.3188e+02
1.12732904e+00, -3.4019e+01, -1.8006e+02, 8.7600e-01, -1.3147e+02, 9.7957e-01, -1.3223e+02
1.15665370e+00, -3.3980e+01, -1.8032e+02, 1.0224e+00, -1.3189e+02, 1.1250e+00, -1.3264e+02
1.18674118e+00, -3.3917e+01, -1.8048e+02, 1.1736e+00, -1.3241e+02, 1.2759e+00, -1.3315e+02
1.21761130e+00, -3.3895e+01, -1.8039e+02, 1.3070e+00, -1.3290e+02, 1.4091e+00, -1.3363e+02
1.24928444e+00, -3.3991e+01, -1.8007e+02, 1.4545e+00, -1.3340e+02, 1.5552e+00, -1.3410e+02
